Name,Facility ID (CCN),Parent System/Company,PE Firm,Currently PE?,State,Address,City,Zip,County,Date last acquired by PE,Previous Owner Type,Hospital Ownership,Type,Region,Payment Designation,Hospital Overall Rating,Rural?,RUCA,FORHP Rural/Urban,CSBA Rural/Urban,FIPS,Sale-leaseback,HCRIS Acute,HCRIS Beds,POS Certified Beds,POS Total Beds,PSF Beds,Emergency Services,Phone
ASHLEY REGIONAL MEDICAL CENTER,460030,LifePoint Health,Apollo Global Management,Y,UT,150 WEST 100 NORTH,VERNAL,84078,UINTAH,November 2018,Public,Proprietary,Acute Care Hospitals,West ,SCH,5,1,4,Rural,Micro,49047,,39,,39,39,37,Yes,(435) 789-3342
ATLANTIC REHABILITATION INSTITUTE,313038,LifePoint Health,Apollo Global Management,Y,NJ,200 MADISON AVENUE,MADISON,7940,,,,,Rehabilitation hospital,Northeast ,,,,1,Urban,Metro,34027,,,38,38,38,,,(973) 549-7440
"BAILEY MEDICAL CENTER, LLC",370228,Ardent Health Services,Equity Group Investments,Y,OK,10502 NORTH 110TH EAST AVENUE,OWASSO,74055,TULSA,August 2015,PE,Proprietary,Acute Care Hospitals,South ,PPS,3,,1,Urban,Metro,40143,,73,,83,83,72,Yes,(918) 376-8500
BAKERSFIELD HEART HOSPITAL,050724,Surgery Partners,Bain Capital,Y,CA,3001 SILLECT AVENUE,BAKERSFIELD,93308,KERN,August 2017,PE/Public,Proprietary,Acute Care Hospitals,West ,PPS,4,,1,Urban,Metro,6029,,47,,47,47,45,Yes,(661) 316-6000
BAPTIST MEMORIAL REHABILITATION HOSPITAL,443034,LifePoint Health,Apollo Global Management,Y,TN,1240 S GERMANTOWN ROAD,GERMANTOWN,38138,,,,,Rehabilitation hospital,South ,,,,1,Urban,Metro,47157,,,49,49,49,,,(901) 757-1350
BAPTIST NEIGHBORHOOD HOSPITAL THOUSAND OAKS,670078,Baptist Health/Emerus,"Welsh, Carson, Anderson & Stowe",Y,TX,16088 SAN PEDRO,SAN ANTONIO,78232,BEXAR,,,Proprietary,Acute Care Hospitals,South ,PPS,Not Available,,1,Urban,Metro,48029,,50,,58,58,46,Yes,(210) 402-4092
BAPTIST ST ANTHONY'S HOSPITAL,450231,Ardent Health Services,Equity Group Investments,Y,TX,1600 WALLACE BLVD,AMARILLO,79106,POTTER,August 2015,PE,Proprietary,Acute Care Hospitals,South ,RRC,3,1,1,Urban,Metro,48375,,365,,445,445,346,Yes,(806) 212-2000
BARSTOW COMMUNITY HOSPITAL,050298,Quorum Health Corporation,"GoldenTree Asset Management, Davidson Kempner",Y,CA,820 E MOUNTAIN VIEW STREET,BARSTOW,92311,SAN BERNARDINO,May 2020,Public,Proprietary,Acute Care Hospitals,West ,SCH,2,1,4,Rural,Metro,6071,,30,,56,56,29,Yes,(760) 256-1761
BAYLOR EMERGENCY MEDICAL CENTER,670062,Baylor Scott & White HealthEmerus,"Welsh, Carson, Anderson & Stowe",Y,TX,26791 HIGHWAY 380,AUBREY,76227,DENTON,,,Proprietary,Acute Care Hospitals,South ,PPS,Not Available,,1,Urban,Metro,48121,,40,,2,2,38,Yes,(972) 347-2525
BAYLOR SCOTT AND WHITE EMERGENCY HOSPITAL,670107,Baylor Scott & White HealthEmerus,"Welsh, Carson, Anderson & Stowe",Y,TX,12500 SOUTH FREEWAY SUITE 100,BURLESON,76028,JOHNSON,,,Proprietary,Acute Care Hospitals,South ,PPS,Not Available,,1,Urban,Metro,48439,,24,,16,16,23,Yes,(214) 294-6250
BEACON BEHAVIORAL HOSPITAL - CENTRAL,194112,Beacon Behavioral,Latticework Capital Management,Y,LA,"323 EVERGREEN STREET, SUITE B",BUNKIE,71322,AVOYELLES,December 2020,Private,Proprietary,Psychiatric,South ,,Not Available,1,7,Rural,Neither,22009,,,18,24,24,,No,(318) 346-3143
"BEACON BEHAVIORAL HOSPITAL - NORTHSHORE, LLC",194080,Beacon Behavioral,Latticework Capital Management,Y,LA,"64026 HWY 434, SUITE 300 (3RD FLOOR)",LACOMBE,70445,ST. TAMMANY,December 2020,Private,Proprietary,Psychiatric,South ,,Not Available,,1,Urban,Metro,22103,,,22,22,22,,No,(985) 882-0226
"BEACON BEHAVIORAL HOSPITAL- NEW ORLEANS, LLC",194084,Beacon Behavioral,Latticework Capital Management,Y,LA,14500 HAYNES BLVD,NEW ORLEANS,70128,ORLEANS,December 2020,Private,Proprietary,Psychiatric,South ,,Not Available,,1,Urban,Metro,22071,,,34,34,34,,No,(504) 210-0460
"BEACON BEHAVIORAL HOSPITAL, LLC",194102,Beacon Behavioral,Latticework Capital Management,Y,LA,2471 LOUISIANA AVE,LUTCHER,70071,ST. JAMES,December 2020,Private,Proprietary,Psychiatric,South ,,Not Available,1,2,Rural,Metro,22093,,,19,24,24,,No,(225) 258-6103
BEACON CHILDREN'S HOSPITAL,014015,Perimeter Healthcare,Ridgemont Equity Partners,Y,AL,150 HOSPITAL DRIVE,LUVERNE,36049,CRENSHAW,June 2017,Private,Proprietary,Psychiatric,South ,,Not Available,1,3,Rural,Neither,1041,,,,28,28,,No,(334) 335-5040
BECKETT SPRINGS,364051,LifePoint Health,Apollo Global Management,Y,OH,8614 SHEPHERD FARM DRIVE,WEST CHESTER,45069,BUTLER,February 2023,PE,Proprietary,Psychiatric,Midwest ,,Not Available,,1,Urban,Metro,39017,MPT,,96,48,48,,No,(513) 942-9500
BIG BEND REGIONAL MEDICAL CENTER,451378,Quorum Health Corporation,"GoldenTree Asset Management, Davidson Kempner",Y,TX,2600 HIGHWAY 118 NORTH,ALPINE,79830,BREWSTER,May 2020,Public,Proprietary,Critical Access Hospitals,South ,CAH,Not Available,1,8,Rural,Neither,48043,,25,,25,25,,Yes,(432) 837-3447
BLUEGRASS COMMUNITY HOSPITAL,181308,LifePoint Health,Apollo Global Management,Y,KY,360 AMSDEN AVENUE,VERSAILLES,40383,WOODFORD,November 2018,Public,Proprietary,Critical Access Hospitals,South ,CAH,Not Available,1,4,Rural,Metro,21239,,25,,25,25,,Yes,(859) 873-3111
BOLIVAR MEDICAL CENTER,250093,ScionHealth,Apollo Global Management,Y,MS,901 E SUNFLOWER RD,CLEVELAND,38732,BOLIVAR,November 2018,Public,Proprietary,Acute Care Hospitals,South ,SCH,2,1,4,Rural,Micro,28011,,152,,99,165,142,Yes,(662) 846-0061
BOURBON COMMUNITY HOSPITAL,180046,LifePoint Health,Apollo Global Management,Y,KY,9 LINVILLE DRIVE,PARIS,40361,BOURBON,November 2018,Public ,Proprietary,Acute Care Hospitals,South ,PPS,5,1,4,Rural,Metro,21017,,34,,58,58,32,Yes,(859) 987-3600
BOURNEWOOD HOSPITAL,224022,Meadows Behavioral Healthcare,Kohlberg & Company,Y,MA,300 SOUTH STREET,BOSTON COLLEGE,2467,MIDDLESEX,May 2017,Private,Proprietary,Psychiatric,Northeast ,,Not Available,,1,Urban,Metro,25021,,,102,90,90,,No,(617) 469-0300
BRENTWOOD SPRINGS,154055,LifePoint Health,Apollo Global Management,Y,IN,4488 ROSLIN RD,NEWBURGH,47630,WARRICK,,,Voluntary non-profit - Private,Psychiatric,Midwest ,,Not Available,,2,Urban,Metro,18173,,,48,48,48,,No,(812) 858-7200
BRIDGEPOINT -NATIONAL HARBOR,092003,Bridgepoint Healthcare,Silver Point Capital,Y,D.C.,4601 MARTIN LUTHER KING JR AVENUE,WASHINGTON,20032,,December 2014,Private,Proprietary,LTACH,South ,,,,1,Urban,Metro,11001,,,82,82,82,,,(202) 574-5770
BRIDGEPOINT CONTINUING CARE HOSPITAL,192007,Bridgepoint Healthcare,Silver Point Capital,Y,LA,1101 MEDICAL CENTER BLVD 4TH FLOOR,MARRERO,70072,,December 2014,Private,Proprietary,LTACH,South ,,,,1,Urban,Metro,22051,,,44,39,39,,,(504) 349-2584
BRIDGEPOINT HOSPITAL CAPITOL HILL,092002,Bridgepoint Healthcare,Silver Point Capital,Y,D.C.,223 7TH STREET NE,WASHINGTON,20002,,December 2014,Private,Proprietary,LTACH,South ,,,,1,Urban,Metro,11001,,,60,60,60,,,(202) 675-0400
"BROOKHAVEN HOSPITAL, LLC",374012,Vizion Health,New Century Capital Partners,Y,OK,201 SOUTH GARNETT ROAD,TULSA,74128,TULSA,June 2021,Private,Proprietary,Psychiatric,South ,,Not Available,,1,Urban,Metro,40143,,,64,64,64,,No,(918) 438-4257
CANYON VISTA MEDICAL CENTER,030043,LifePoint Health,Apollo Global Management,Y,AZ,5700 EAST HIGHWAY 90,SIERRA VISTA,85635,COCHISE,June 2015,PE,Proprietary,Acute Care Hospitals,West ,SCH,4,1,1,Urban,Metro,4003,,74,,100,100,74,Yes,(520) 263-2000
CAROLINA PINES REGIONAL MEDICAL CENTER,420010,ScionHealth,Apollo Global Management,Y,SC,1304 W BOBO NEWSOM HWY,HARTSVILLE,29550,DARLINGTON,May 2016,PE,Proprietary,Acute Care Hospitals,South ,RRC,3,1,4,Rural,Metro,45031,MPT,116,,116,116,112,Yes,(864) 339-2100
CARROLLTON SPRINGS,454119,LifePoint Health,Apollo Global Management,Y,TX,2225 PARKER ROAD,CARROLLTON,75010,DENTON,February 2023,PE,Proprietary,Psychiatric,South ,,Not Available,,1,Urban,Metro,48121,MPT,,78,78,78,,No,(972) 242-4114
CASTLEVIEW HOSPITAL,460011,LifePoint Health,Apollo Global Management,Y,UT,300 NORTH HOSPITAL DRIVE,PRICE,84501,CARBON,November 2018,Public,Proprietary,Acute Care Hospitals,West ,SCH,5,1,4,Rural,Micro,49007,,39,,84,84,37,Yes,(435) 637-4800
CENTRAL CAROLINA HOSPITAL,340020,LifePoint Health,Apollo Global Management,Y,NC,1135 CARTHAGE ST,SANFORD,27330,LEE,November 2018,Public,Proprietary,Acute Care Hospitals,South ,PPS,3,1,4,Rural,Micro,37105,,127,,137,137,122,Yes,(919) 774-2100
CENTRAL DESERT BEHAVIORAL HEALTH HOSPITAL,324014,,AS Realty Investors ,Y,NM,1525 N RENAISSANCE BLVD NE,ALBUQUERQUE,87102,BERNALILLO,,De Novo,Proprietary,Psychiatric,West ,,Not Available,,1,Urban,Metro,35001,,,64,26,26,,No,(505) 243-3387
CENTRAL TEXAS REHABILITATION HOSPITAL,673027,LifePoint Health,Apollo Global Management,Y,TX,700 W 45TH ST,AUSTIN,78705,,,,,Rehabilitation hospital,South ,,,,1,Urban,Metro,48453,GMRE,,50,50,50,,,(512) 407-2101
CHI FRANCISCAN REHABILITATION HOSPITAL,503026,LifePoint Health,Apollo Global Management,Y,WA,815 S VASSAULT ST,TACOMA,98465,,December 2021,PE,Proprietary,Rehabilitation hospital,West ,,,,1,Urban,Metro,53053,,,60,60,60,,,(253) 444-3320
CHRISTUS CENTRAL LOUISIANA SURGICAL HOSPITAL,190298,,IRA Capital,Y,LA,651 NORTH BOLTON AVE,ALEXANDRIA,71301,RAPIDES,January 2022,Non-Profit,Proprietary,Acute Care Hospitals,South ,PPS,Not Available,,1,Urban,Metro,22079,,24,,24,24,24,No,(318) 449-6400
CLARK MEMORIAL HEALTH,150009,LifePoint Health,Apollo Global Management,Y,IN,1220 MISSOURI AVE,JEFFERSONVILLE,47130,CLARK,August 2015,PE,Proprietary,Acute Care Hospitals,Midwest ,PPS,2,,1,Urban,Metro,18019,,153,,241,241,143,Yes,(812) 283-2147
CLARK REGIONAL MEDICAL CENTER,180092,LifePoint Health,Apollo Global Management,Y,KY,175 HOSPITAL DRIVE,WINCHESTER,40391,CLARK,November 2018,Public ,Proprietary,Acute Care Hospitals,South ,PPS,4,1,4,Rural,Metro,21049,,54,,75,75,49,Yes,(859) 737-8559
CLINCH VALLEY MEDICAL CENTER,490060,LifePoint Health,Apollo Global Management,Y,VA,6801 GOVERNOR GC PERRY HIGHWAY,RICHLANDS,24641,TAZEWELL,November 2018,Public,Proprietary,Acute Care Hospitals,South ,PPS,3,1,7,Rural,Micro,51185,,151,,175,175,145,Yes,(276) 596-6000
CLINTON MEMORIAL HOSPITAL,360175,ScionHealth,Apollo Global Management,Y,OH,610 WEST MAIN STREET,WILMINGTON,45177,CLINTON,May 2016,PE,Proprietary,Acute Care Hospitals,Midwest ,MDH,1,1,4,Rural,Micro,39027,,75,,143,143,68,Yes,(937) 382-6611
COAST PLAZA HOSPITAL,050771,Pipeline Health,"Stanton Road Capital, Davidson Kempner, Deerfield Management",Y,CA,13100 STUDERBAKER ROAD,NORWALK,90650,LOS ANGELES,2019,Private,Proprietary,Acute Care Hospitals,West ,PPS,2,,1,Urban,Metro,6037,MPT,117,,105,117,115,Yes,(562) 868-3751
COMMUNITY HEALTH NETWORK REHABILITATION HOSP SO,153044,LifePoint Health,Apollo Global Management,Y,IN,607 SOUTH GREENWOOD SPRINGS DRIVE,GREENWOOD,46143,,December 2021,PE,Proprietary,Rehabilitation hospital,Midwest ,,,,1,Urban,Metro,18081,,,44,44,44,,,(317) 215-3808
COMMUNITY HEALTH NETWORK REHABILITATION HOSPITAL,153043,LifePoint Health,Apollo Global Management,Y,IN,7343 CLEARVISTA DRIVE,INDIANAPOLIS,46256,,December 2021,PE,Proprietary,Rehabilitation hospital,Midwest ,,,,1,Urban,Metro,18097,,,60,60,60,,,(317) 585-5400
COMMUNITY HOSPITAL OF HUNTINGTON PARK,050091,Pipeline Health,"Stanton Road Capital, Davidson Kempner, Deerfield Management",Y,CA,2623 E SLAUSON AVE,HUNTINGTON PARK,90255,LOS ANGELES,2019,Private,Proprietary,Acute Care Hospitals,West ,PPS,2,,1,Urban,Metro,6037,MPT,86,,81,81,79,Yes,(323) 583-1931
COMMUNITY MEDICAL CENTER,270023,LifePoint Health,Apollo Global Management,Y,MT,2827 FORT MISSOULA RD,MISSOULA,59804,MISSOULA,December 2015,PE,Proprietary,Acute Care Hospitals,West ,RRC,3,1,1,Urban,Metro,30063,,141,,151,151,139,Yes,(406) 728-4100
CONEMAUGH MEMORIAL MEDICAL CENTER,390110,LifePoint Health,Apollo Global Management,Y,PA,1086 FRANKLIN STREET,JOHNSTOWN,15905,CAMBRIA,November 2018,Public,Proprietary,Acute Care Hospitals,Northeast ,PPS,3,,1,Urban,Metro,42021,MPT,344,,429,486,326,Yes,(814) 534-9000
CONEMAUGH MEYERSDALE MEDICAL CENTER,391302,LifePoint Health,Apollo Global Management,Y,PA,200 HOSPITAL DRIVE,MEYERSDALE,15552,SOMERSET,November 2018,Public,Proprietary,Critical Access Hospitals,Northeast ,CAH,Not Available,1,7,Rural,Micro,42111,MPT,20,,20,20,,Yes,(814) 634-5911
CONEMAUGH MINERS MEDICAL CENTER,391317,LifePoint Health,Apollo Global Management,Y,PA,290 HAIDA AVENUE,HASTINGS,16646,CAMBRIA,November 2018,Public,Proprietary,Critical Access Hospitals,Northeast ,CAH,Not Available,1,7,Rural,Metro,42021,MPT,25,,25,25,,Yes,(814) 247-3100
CONEMAUGH NASON MEDICAL CENTER,390062,LifePoint Health,Apollo Global Management,Y,PA,105 NASON DRIVE,ROARING SPRING,16673,BLAIR,November 2018,Public,Proprietary,Acute Care Hospitals,Northeast ,PPS,Not Available,,2,Urban,Metro,42013,MPT,45,,41,45,43,Yes,(814) 224-2141
"COPPER SPRINGS HOSPITAL, LLC",034032,LifePoint Health,Apollo Global Management,Y,AZ,10550 WEST MCDOWELL ROAD,AVONDALE,85392,MARICOPA,February 2023,PE,Proprietary,Psychiatric,West ,,Not Available,,1,Urban,Metro,4013,MPT,,144,72,72,,Yes,(480) 565-3035
CORNERSTONE BEHAVIORAL HEALTH EL DORADO,034033,LifePoint Health,Apollo Global Management,Y,AZ,1400 NORTH WILMOT ROAD,TUCSON,85712,PIMA,January 2023,PE,Proprietary,Psychiatric,West ,,Not Available,,1,Urban,Metro,4019,,,54,36,36,,No,(520) 222-8268
CORNERSTONE HOSPITAL CONROE,452107,ScionHealth,Apollo Global Management,Y,TX,1500 GRAND LAKE DRIVE,CONROE,77304,,January 2023,PE,Proprietary,LTACH,South ,,,,1,Urban,Metro,48339,,,41,41,41,,,(936) 523-1800
CORNERSTONE HOSPITAL LITTLE ROCK,042010,ScionHealth,Apollo Global Management,Y,AR,"2 ST VINCENT CIRCLE, 6TH FLOOR",LITTLE ROCK,72205,,January 2023,PE,Proprietary,LTACH,South ,,,,1,Urban,Metro,5119,,,40,40,40,,,(501) 265-0622
CORNERSTONE SPECIALTY HOSPITALS AUSTIN,452034,ScionHealth,Apollo Global Management,Y,TX,4207 BURNET RD,AUSTIN,78756,,January 2023,PE,Proprietary,LTACH,South ,,,,1,Urban,Metro,48453,,,89,54,54,,,(512) 706-1900
CORNERSTONE SPECIALTY HOSPITALS BOSSIER CITY,192006,ScionHealth,Apollo Global Management,Y,LA,4900 MEDICAL DRIVE,BOSSIER CITY,71112,,January 2023,PE,Proprietary,LTACH,South ,,,,1,Urban,Metro,22015,MPT,,43,62,62,,,(318) 747-9500
CORNERSTONE SPECIALTY HOSPITALS CLEAR LAKE,452032,ScionHealth,Apollo Global Management,Y,TX,709 MEDICAL CENTER BLVD,WEBSTER,77598,,January 2023,PE,Proprietary,LTACH,South ,,,,1,Urban,Metro,48201,,,74,148,148,,,(713) 551-5300
CORNERSTONE SPECIALTY HOSPITALS HOUSTON MEDICAL CE,452046,ScionHealth,Apollo Global Management,Y,TX,1300 BINZ,HOUSTON,77004,,January 2023,PE,Proprietary,LTACH,South ,,,,1,Urban,Metro,48201,,,65,65,65,,,(713) 285-1000
CORNERSTONE SPECIALTY HOSPITALS HUNTINGTON,512003,ScionHealth,Apollo Global Management,Y,WV,"2900 FIRST AVENUE, 2E",HUNTINGTON,25702,,January 2023,PE,Proprietary,LTACH,South ,,,,1,Urban,Metro,54011,,,28,28,28,,,(304) 399-2600
CORNERSTONE SPECIALTY HOSPITALS MUSKOGEE,372022,ScionHealth,Apollo Global Management,Y,OK,351 SOUTH 40TH STREET,MUSKOGEE,74401,,January 2023,PE,Proprietary,LTACH,South ,,,1,4,Rural,Micro,40101,,,64,64,64,,,(918) 682-6161
CORNERSTONE SPECIALTY HOSPITALS SHAWNEE,372019,ScionHealth,Apollo Global Management,Y,OK,1900 GORDON COOPER DRIVE,SHAWNEE,74801,,January 2023,PE,Proprietary,LTACH,South ,,,1,4,Rural,Micro,40125,,,34,34,34,,,(405) 395-5800
CORNERSTONE SPECIALTY HOSPITALS SOUTHWEST LOUISIAN,192013,ScionHealth,Apollo Global Management,Y,LA,"524 DR MICHAEL DEBAKEY DRIVE, 3RD FLOOR",LAKE CHARLES,70601,,January 2023,PE,Proprietary,LTACH,South ,,,,1,Urban,Metro,22019,,,28,33,33,,,(337) 310-6033
CORNERSTONE SPECIALTY HOSPITALS TUCSON,032004,ScionHealth,Apollo Global Management,Y,AZ,7220 EAST ROSEWOOD STREET,TUCSON,85710,,January 2023,PE,Proprietary,LTACH,West ,,,,1,Urban,Metro,4019,,,34,34,34,,,(469) 621-6700
CORNERSTONE SPECIALTY HOSPITALS WEST MONROE,192031,ScionHealth,Apollo Global Management,Y,LA,6198 CYPRESS STREET,WEST MONROE,71291,,January 2023,PE,Proprietary,LTACH,South ,,,,1,Urban,Metro,22073,,,47,47,47,,,(318) 396-5600
CORPUS CHRISTI REHABILITATION HOSPITAL,673053,Ernest Health,One Equity Partners,Y,TX,5726 ESPLANADE DRIVE,CORPUS CHRISTI,78414,,October 2018,PE,Proprietary,Rehabilitation hospital,South ,,,,1,Urban,Metro,48355,MPT,,35,35,35,,,(361) 906-3700
COTTONWOOD CREEK BEHAVIORAL HOSPITAL,134017,Haven Behavioral Healthcare,"Thoma Bravo, Resolute Capital Partners, WP Global Partners, Brown Brothers Harriman Capital Partners",Y,ID,2131 S BONITO WAY,MERIDIAN,83642,ADA,January 2019,De Novo,Proprietary,Psychiatric,West ,,Not Available,,1,Urban,Metro,16001,,,78,92,92,,No,(208) 996-8449
COTTONWOOD SPRINGS LLC,174020,LifePoint Health,Apollo Global Management,Y,KS,13351 S ARAPAHO DRIVE,OLATHE,66062,JOHNSON,February 2023,PE,Proprietary,Psychiatric,Midwest ,,Not Available,,1,Urban,Metro,20091,MPT,,72,72,72,,No,(913) 353-3000
CREEKSIDE BEHAVIORAL HEALTH,444027,Summit Behavioral Healthcare,Patient Square Capital,Y,TN,1025 EXECUTIVE PARK BLVD,KINGSPORT,37660,SULLIVAN,January 2022,Private,Proprietary,Psychiatric,South ,,Not Available,,1,Urban,Metro,47163,,,72,72,72,,No,(423) 830-8207
CROSSROADS COMMUNITY HOSPITAL,140294,Quorum Health Corporation,"GoldenTree Asset Management, Davidson Kempner",Y,IL,8 DOCTORS PARK RD,MOUNT VERNON,62864,JEFFERSON,May 2020,Public,Proprietary,Acute Care Hospitals,Midwest ,MDH,5,1,4,Rural,Micro,17081,,47,,56,56,45,Yes,(618) 244-5500
CYPRESS GROVE BEHAVIORAL HEALTH,194083,Meridian Behavioral Health,Audax Group,Y,LA,4673 EUGENE WARE ROAD,BASTROP,71220,MOREHOUSE,December 2015,PE,Proprietary,Psychiatric,South ,,Not Available,1,4,Rural,Metro,22067,,,60,60,60,,No,(318) 281-2448
CYPRESS POINTE SURGICAL HOSPITAL,190303,,Umbono Capital,Y,LA,42570 SOUTH AIRPORT RD,HAMMOND,70403,TANGIPAHOA,,,Proprietary,Acute Care Hospitals,South ,PPS,Not Available,,1,Urban,Metro,22105,,30,,30,30,30,No,(985) 510-6200
DALLAS LTACH LLC,452108,ScionHealth,Apollo Global Management,Y,TX,8050 MEADOWS ROAD,DALLAS,75231,,December 2021,PE,Proprietary,LTACH,South ,,,,1,Urban,Metro,48113,,,60,60,60,,,(469) 232-6500
DEKALB REGIONAL MEDICAL CENTER,010012,Quorum Health Corporation,"GoldenTree Asset Management, Davidson Kempner",Y,AL,200 MED CENTER DRIVE,FORT PAYNE,35968,DE KALB,May 2020,Public,Proprietary,Acute Care Hospitals,South ,SCH,3,1,7,Rural,Micro,1049,,97,,134,134,94,Yes,(256) 845-3150
DENVER SPRINGS,064028,LifePoint Health,Apollo Global Management,Y,CO,8835 AMERICAN WY,ENGLEWOOD,80112,ARAPAHOE,February 2023,PE,Proprietary,Psychiatric,West ,,Not Available,,1,Urban,Metro,8035,MPT,,96,96,96,,No,(720) 643-4300
DIGNITY HEALTH EAST VALLEY REHABILITATION HOSPITAL,033040,LifePoint Health,Apollo Global Management,Y,AZ,1515 WEST CHANDLER BOULEVARD,CHANDLER,85224,,,,,Rehabilitation hospital,West ,,,,1,Urban,Metro,4013,,,50,50,50,,,(602) 594-5400
DOCTORS NEUROPSYCHIATRIC HOSPITAL,154058,NeuroPsychiatric Hospitals,Enhanced Healthcare Partners,Y,IN,417 S WHITLOCK ST,BREMEN,46506,MARSHALL,,Private,Proprietary,Psychiatric,Midwest ,,Not Available,1,7,Rural,Micro,18099,,,37,37,37,,No,(574) 546-0330
DUBLIN SPRINGS,364049,LifePoint Health,Apollo Global Management,Y,OH,7625 HOSPITAL DRIVE,DUBLIN,43016,FRANKLIN,February 2023,PE,Proprietary,Psychiatric,Midwest ,,Not Available,,1,Urban,Metro,39049,MPT,,144,48,48,,No,(614) 717-1800
DUKE REGIONAL HOSPITAL,340155,LifePoint Health,Apollo Global Management,Y,NC,3643 N ROXBORO STREET,DURHAM,27704,DURHAM,November 2018,Public,Proprietary,Acute Care Hospitals,South ,RRC,4,1,1,Urban,Metro,37063,,301,,391,391,284,Yes,(919) 470-4000
DUKE UNIVERSITY HOSPITAL,340030,LifePoint Health,Apollo Global Management,Y,NC,PO BOX 3814 DUMC  ERWIN RD,DURHAM,27710,DURHAM,November 2018,Public,Proprietary,Acute Care Hospitals,South ,RRC,4,1,1,Urban,Metro,37063,,960,,1019,1019,930,Yes,(919) 684-8111
EAGLE VIEW BEHAVIORAL HEALTH,164006,Summit Behavioral Healthcare,Patient Square Capital,Y,IA,770 TANGLEFOOT LANE,BETTENDORF,52722,,January 2022,Private,Proprietary,Psychiatric,Midwest ,,Not Available,,1,Urban,Metro,19163,,,72,72,72,,,(563) 396-2100
EAST LOS ANGELES DOCTORS HOSPITAL,050641,Pipeline Health,"Stanton Road Capital, Davidson Kempner, Deerfield Management",Y,CA,4060 WHITTIER BLVD,LOS ANGELES,90023,LOS ANGELES,2019,Private,Proprietary,Acute Care Hospitals,West ,PPS,2,,1,Urban,Metro,6037,MPT,102,,102,127,103,Yes,(323) 268-5514
