Companies,URL,Description,Industry,Country,Total Funding (M),All People,All Investors,Expert Collections,Market Reports,Company Status,Founded Year,Acquirer
e+CancerCare,epluscancercare.com,"e+CancerCare operates outpatient cancer care centers and provides a complete integrated continuum of care, including diagnostic testing, radiation oncology, medical oncology and ancillary services.",Medical Facilities & Services,United States,,,"Kohlberg & Company, Alliance Healthcare Services, Integrated Oncology Network",,,Acquired,2002,"Kohlberg & Company, Alliance Healthcare Services, Integrated Oncology Network"
American Oncology Network,aoncology.com,"The American Oncology Network is an alliance of physicians and healthcare leaders that are partnering to ensure the long-term success of community oncology. It provides comprehensive support, ancillary services, and practice management expertise to empower physicians to make cancer care better. The American Oncology Network offers a model of physician-led, community-based oncology management. Its services include a centralized specialty pharmacy, diagnostics, pathology, electronic medical records, a care management team, and a variety of financial assistance programs. American Oncology Network was founded in 2018 and is based in Fort Myers, Florida.",Medical Facilities & Services,United States,,Steven Swart (SVP),Digital Transformation Opportunities,,,Acquired,2018,Digital Transformation Opportunities
South Carolina Oncology Associates,sconcology.net,"South Carolina Oncology Associates is a cancer treatment center that provides medical, radiation, and gynecological oncology plus patient support services like diagnostic radiology, infusion therapy, hospice, and research.",Medical Facilities & Services,United States,,,,,,Alive / Active,,
Oncology Pharma,oncology-pharma.com,"Oncology Pharma engages in research and development of therapeutics for oncology and prides itself for having a world-class Advisory Board that keeps the Company in the forefront of developing technologies in cancer research, biotechnology, and healthcare.",Medical Facilities & Services,United States,,,,,,Alive / Active,,
The Oncology Institute of Hope and Innovation,theoncologyinstitute.com,"The Oncology Institute of Hope and Innovation (NASDAQ: TOI) is an oncology medical practice. It aims to provide cancer care in community settings. The company was founded in 2007 and is based in Cerritos, California.",Medical Facilities & Services,United States,,"Bradford Hively (CEO), Hilda Agajanian (President), Yale Podnos (President), Daniel Virnich (COO), Matt Miller (Chief Administrative Officer)","DFP Healthcare Acquisitions, M33 Growth",,,Acquired,2007,DFP Healthcare Acquisitions
Vector Oncology - CRO Division,,"Vector Oncology specializes in the design and delivery of care based oncology research and data analytics. Utilizing a comprehensive Oncology Data Warehouse and proprietary Patient Care Monitor patient engagement and outcomes platform, experienced project teams, medical experts and health economics and outcomes scientists design and deliver high-quality projects generating real world evidence and insight.",Medical Facilities & Services,United States,,,George Clinical,,,Acquired,,George Clinical
Innovative Oncology Business Solutions,innovativeobs.com,"Innovative Oncology Business Solutions (IOBS) exists to redesign oncology practice to create improved, affordable patient outcomes while improving the satisfaction of both patients and physicians. It is based in Albuquerque, New Mexico.",Medical Facilities & Services,United States,,,,,,Alive / Active,,
NRG Oncology,nrgoncology.org,"NRG Oncology is a non-profit research organization formed to conduct oncologic clinical research and to broadly disseminate study results for informing clinical decision making and healthcare policy. It brings together the National Surgical Adjuvant Breast and Bowel Project (NSABP), the Radiation Therapy Oncology Group (RTOG), and the Gynecologic Oncology Group (GOG)-each recognized internationally as a research leader.",Medical Facilities & Services,United States,95,,National Cancer Institute,,,Alive / Active,,
American Society fro Radiation Oncology,astro.org,"The American Society fro Radiation Oncology is a radiation oncology society with members who are physicians, nurses, biologists, physicists, radiation therapists, dosimetrists and other health care professionals that specialize in treating patients with radiation therapies.",Medical Facilities & Services,United States,,,,,,Alive / Active,1958,
North Shore Oncology-Hematology Associates,northshoreoncology.com,"North Shore Oncology-Hematology Associates is a clinical cancer research association. The association specializes in family medicines, hematology, internal medicines, medical oncology, hospice, and palliative medicines. It is based in Crystal Lake, Illinois.",Medical Facilities & Services,United States,,,,,,Alive / Active,,
Verdi Cancer & Research Center,,Verdi Cancer & Research Center is an oncology practice and clinical research facility.,Medical Facilities & Services,United States,,,Verdi Oncology,,,Acquired,,Verdi Oncology
Marin Cancer Care,marincancercare.com,"Marin Cancer Care (MCC) is a cancer treatment center. The center offers cancer treatment with the help of science and medicines. It specializes in medical oncology, hematology, and radiation oncology. It was founded in 1978 and is based in Greenbrae, California.",Medical Facilities & Services,United States,,,,,,Alive / Active,1978,
American Society of Clinical Oncology,asco.org,"The American Society of Clinical Oncology consists of a network of oncology professionals who recognize ASCO's dedication to providing the highest-quality resources in education, policy, the pioneering of clinical research, and above all, advancing the care for patients with cancer.",Medical Facilities & Services,United States,,"Linda Jensen (CFO), Dina Michels (EVP)",,,,Alive / Active,,
BioArdis,bioardis.com,"BioArdis operates as a therapeutic development company. Its portfolio of therapies includes a pipeline of small molecule therapies that are largely focused on oncology and immuno-oncology drug candidates. The company was founded in 2017 and is based in San Diego, California.",Medical Facilities & Services,United States,,,,,,Alive / Active,2017,
Thyme Care,thymecare.com,"Thyme Care operates as an oncology care management company. It provides technology-enabled care navigation and physician-guided oncology nurses and resource specialists that offers education and guidance. The company was founded in 2020 and is based in Nashville, Tennessee.",Medical Facilities & Services,United States,82,"Robin Shah (CEO), Bobby Green (Chief Medical Officer)","AlleyCorp, Andreessen Horowitz, Bessemer Venture Partners, Casdin Capital, Frist Cressey Ventures, Foresite Capital, Town Hall Ventures",Digital Health,,Alive / Active,2020,
Commonwealth Hematology-Oncology,chomed.navigatingcare.com,Commonwealth Hematology-Oncology is a community-based cancer care program in New England.,Medical Facilities & Services,United States,,,Dana Farber Cancer Institute,,,Acquired,,Dana Farber Cancer Institute
Radiological Associates of Sacramento,radiological.com,"Radiological Associates of Sacramento (RAS) is Northern California's premier provider of specialty healthcare services. The company's core services include diagnostic radiology, interventional radiology & interventional neuroradiology, radiation oncology, PET / nuclear medicine, hematology / medical oncology, gynecologic oncology, urology, and thoracic / vascular surgery. Established in 1917, RAS provides quality healthcare to patients through multiple outpatient locations in four Sacramento area counties.",Medical Facilities & Services,United States,,,Sutter Health,Pet Technologies,,Acquired,,Sutter Health
Hematology/Oncology Pharmacy Association,hoparx.org,"Hematology/Oncology Pharmacy Association is a nonprofit, education-based organization formed to help oncology and hematology pharmacy practitioners and their associates the best possible cancer care. HOPA supports research, provides education, encourages professional development, and advocates for health policy issues that improve patient care.",Medical Facilities & Services,United States,,,,,,Alive / Active,2004,
Miami Cardiac & Vascular Institute,cardiovascular.baptisthealth.net,"Miami Cardiac & Vascular Institute offers medical care and treatment for cardiovascular diseases. Its cardiac services and programs include aneurysm treatments, cardiac rehabilitation, cardiac surgery, cardio-oncology, and interventional oncology. Miami Cardiac & Vascular Institute was founded in 1987 and is based in Miami, Florida.",Medical Facilities & Services,United States,,,,,,Alive / Active,1987,
PhenoPath,phenopath.com,"PhenoPath provides AP, molecular oncology and other services including genetic sequencing and genomic tumor analysis.",Medical Facilities & Services,United States,,,Quest Diagnostics,,,Acquired,1998,Quest Diagnostics
Ce3,ce3inc.com,Ce3 is a full-service CRO focused on providing early phase oncology clinical development services to the biotechnology industry.,Medical Facilities & Services,United States,,,,,,Acquired,2005,
Alabama Cancer Care,alcancercare.com,"Alabama Cancer Care is an oncology and hematology practice that provides treatment for a range of illnesses. It is based in Gadsden, Alabama.",Medical Facilities & Services,United States,,,,,,Alive / Active,,
Nevada Cancer Institute,nvcancer.org,"Nevada Cancer Institute is a cancer research organization. It offers patient care, clinical trials, education, chemotherapy, radiation, and diagnostic imaging services. The organization also provides various programs, such as an oncology fellowship program and training programs for oncology nurses. It was founded in 2002 and is based in Las Vegas, Nevada.",Medical Facilities & Services,United States,,,,,,Alive / Active,2002,
Northwest Medical Specialties,nwmedicalspecialties.com,"Northwest Medical Specialties provides medical services including oncology, infectious disease and hematology. It is based in Tacoma, Washington.",Medical Facilities & Services,United States,,,,,,Alive / Active,,
Ockham,ockham.com,"Ockham is a global oncology CRO and full-spectrum global resourcing company. Clinical expertise, therapeutic focus, and successful oncology trial outcomes have created an industry leadership position for Ockham Oncology. Ockham Source continues to achieve sustained success by offering traditional sourcing solutions as well as a growing FSP (Functional Service Provider). Ockham's world headquarters is based in Cary, North Carolina. The European headquarters is located in Roslin, Scotland, near Edinburgh. Ockham offices are located strategically around the world to serve global customers.",Medical Facilities & Services,United States,,,Chiltern International,,,Acquired,,Chiltern International
Coastal Carolina Radiation Oncology,nhrmc.org,"Coastal Carolina Radiation Oncology is a network of hospitals, outpatient centers, emergency services and physicians serving Wilmington and southeastern North Carolina.",Medical Facilities & Services,United States,,"Ed Ollie (CFO), Joe Norris (CIO), Philip Brown (EVP)",,,,Alive / Active,1967,
Linical Americas,linicalamericas.com,"Linical Americas, formerly Linical Accelovance, is a CRO conducting clinical trials in oncology, vaccines, dermatology, pain, women's health and nutrition.",Medical Facilities & Services,United States,,"Vita Lanoce (COO), Julie McHugh (COO), Tracy Goeken M D  (Chief Medical Officer)",,,,Alive / Active,2005,
Arizona Oncology,arizonaoncology.com,"Arizona Oncology is the major cancer center in Arizona with more than 70 physicians devoted exclusively to providing comprehensive, compassionate and high-quality cancer care. It participates in clinical trials through US Oncology Research, which has played a role in more than 66 FDA-approved cancer therapies. It is based in Phoenix, Arizona.",Medical Facilities & Services,United States,,Jerry Lucas (President),,,,Alive / Active,,
Alabama Oncology,alabamaoncology.com,"Alabama Oncology is a community-based physician practice that provides patients with increased access to integrated, evidence-based cancer care and clinical research.",Medical Facilities & Services,United States,,,,,,Alive / Active,,
Presbyterian Intercommunity Hospital,pih.net,"Presbyterian Intercommunity Hospital provides emergency care, women's health services, cardiology, orthopedic, and oncology services. It is based in Whittier, California.",Medical Facilities & Services,United States,,Rosalio Lopez (Chief Medical Officer),,,,Alive / Active,,
Southern Oncology Specialists,southernoncology.com,"Southern Oncology Specialists (SOS) provides comprehensive patient and family-centered care services. It was founded in 2010 and is based in Charlotte, North Carolina.",Medical Facilities & Services,United States,,,,,,Alive / Active,2010,
Physician Resource Management,,Physician Resource Management (PRM) is a specialized healthcare management-consulting firm dedicated exclusively to meeting the business and clinical needs of the oncology healthcare services sector.,Medical Facilities & Services,United States,,,,,,Alive / Active,,
Children’s Oncology Group,childrensoncologygroup.org,"Children’s Oncology Group is a specialized National Cancer Institute that provides support to clinical trials group, for childhood, and adolescent cancer research. It is based in Seattle, Washington.",Medical Facilities & Services,United States,,,,,,Alive / Active,,
RADMAX,,"RADMAX is a radiation oncology medical billing company. On September 18, 2020, RADMAX was acquired by Radiation Business Solutions. The terms of the transaction were not disclosed.",Medical Facilities & Services,United States,,,Radiation Business Solutions,,,Acquired,,Radiation Business Solutions
St. Christopher's Hospital for Children,stchristophershospital.com,"St. Christopher's Hospital for Children is a hospital combining general pediatric care with a wide array of pediatric specialties including Cardiology, Ear, Nose and Throat, Gastroenterology, Oncology and Orthopedics.",Medical Facilities & Services,United States,,,"Drexel University, Tower Health",,,Assets Purchased,1875,"Drexel University, Tower Health"
Pharmatech,pharmatechs.com,"Pharmatech specializes in oncology research management. The company accelerates clinical trials by creating opportunities for patients and their physicians to leverage emerging cancer medicines. It is based in Denver, Colorado.",Medical Facilities & Services,United States,,,,,,Alive / Active,,
Labcorp Oncology,oncology.labcorp.com,"Labcorp Oncology is a clinical laboratory that offers clients access to medical diagnostics. The laboratory specializes in drug development, drug testing, and paternity testing. It is based in Phoenix, Arizona.",Medical Facilities & Services,United States,,,BPEA Private Equity,,,Alive / Active,,
Alliance Foundation Trials,alliancefoundationtrials.org,"Alliance Foundation Trials is a research organization that develops and conducts cancer clinical trials, working closely with pharmaceutical partners, research collaborators, and the Alliance for Clinical Trials in Oncology scientific investigators and institutional member network. AFT seeks to fulfill the vision of the Alliance for Clinical Trials in Oncology to reduce the impact of cancer on people by uniting a broad community of scientists and clinicians from many disciplines committed to discovering, validating, and disseminating effective strategies for the prevention and treatment of cancer.",Medical Facilities & Services,United States,,,,,,Alive / Active,2014,
Animal Emergency and Specialty Center,animalerspecialty.com,"Animal Emergency and Specialty Center (AESC) is a specialty/emergency room veterinary hospital. AESC is a referral-based practice focusing on surgical procedures, oncology, and emergency services for small companion animals.",Medical Facilities & Services,United States,,"Mitch Rosenzweig (Founder), Mark Ziller (CEO)",Prospect Partners,,,Alive / Active,,Prospect Partners
Mary Crowley Cancer Research,marycrowley.org,"Mary Crowley Cancer Research is a medical research center that specializes in oncology clinical trials, gene & immune therapy, cancer research, and personalized medicine. The center is based in Dallas, Texas.",Medical Facilities & Services,United States,,,,,,Alive / Active,,
Vantage Medical Group,vantagehealth.com,"Vantage Medical Group is a healthcare company. It provides individualized care services such as medical and radiation oncology, surgery, urology, and hematology. It was founded in 2014 and is based in Brooklyn, New York.",Medical Facilities & Services,United States,,,,,,Alive / Active,,
Hallmark Health Systems,hallmarkhealth.org,"Hallmark Health System is a regional provider of integrated healthcare services that includes Lawrence Memorial Hospital of Medford and Melrose-Wakefield Hospital. The system also includes Hallmark Health Medical Center for outpatient care in Reading, Hallmark Health System Hematology and Oncology Center in Stoneham, CHEM Center for Radiation Oncology in Stoneham, CHEM Center for MRI in Stoneham, Hallmark Health VNA and Hospice, Hallmark Health Medical Associates and Lawrence Memorial/Regis College Nursing and Radiography Programs.",Medical Facilities & Services,United States,,,"Wellforce, Mass General Brigham",,,Acquired,1997,"Mass General Brigham, Wellforce"
Delray Medical Center,delraymedicalctr.com,"Delray Medical Center is a hospital. It offers emergency room, cardiovascular, bariatric surgery, orthopedics, neurosciences, and oncology services. Delray Medical Center was founded in 1982 and is based in Delray Beach, Florida.",Medical Facilities & Services,United States,,,,,,Alive / Active,1982,
Northwest Health - La Porte,nwhealthlaporte.com,"Northwest Health - La Porte, part of the Northwest Health Network in Indiana, is a hospital that provides acute care with strong programs in cardiology, orthopedics, surgical services, emergency care, oncology, and maternal health.",Medical Facilities & Services,United States,,,Community Health Systems,,,Acquired,1972,Community Health Systems
Molecular Pathology Laboratory Network,mplnet.com,"Molecular Pathology Laboratory Network (MPLN) provides clinical laboratory testing services. The company offers genomics, oncology, pathology, women's health, and biopharma services. It is based in Maryville, Tennessee.",Medical Facilities & Services,United States,,Roger A  Hubbard (CEO),,,,Alive / Active,1989,
Avrok Laboratories,avroklabs.com,"Avrok Laboratories operates as an accredited molecular laboratory. Its services include oncology, infectious diseases, surveillance, oral microbiome, bioinformatics, and more. The company was founded in 2020 and is based in Azusa, California.",Medical Facilities & Services,United States,,,,,,Alive / Active,2020,
OnCusp Therapeutics,oncusptx.com,"OnCusp Therapeutics is a global biopharmaceutical company. It translates a focused portfolio of oncology assets from promising research into proven medicines. The company was founded in 2021 and is based in New York, New York.",Medical Facilities & Services,United States,,,,,,Alive / Active,2021,
Women’s Care,womenscareenterprises.com,"Women’s Care specializes in women’s health care. It offers outpatient care in obstetrics, gynecology, gynecologic oncology, urogynecology, gynecologic pathology, and breast surgery. It was founded in 1998 and is based in Mesa, Arizona.",Medical Facilities & Services,United States,,,,,,Alive / Active,1998,
Queens Medical Associates,queensmedical.com,"Queens Medical Associates (QMA) is a physician practice specializing in the care of patients with Hematology and Oncology conditions. On January 17th, 2020, Queens Medical Associates was acquired by Northwell Health, terms of the agreement were not disclosed.",Medical Facilities & Services,United States,,,Northwell Health,,,Acquired,,Northwell Health
Fremont Medical Center,fremonthealth.com,"Fremont Health is a nonprofit healthcare provider that provides services such as behavioral health, cardiology, oncology, orthopedics, surgical services, sports medicine, urology, and wound care. The hospital is based in Fremont, Nebraska, United States.",Medical Facilities & Services,United States,,,,,,Alive / Active,,
Province Healthcare,provincehealthcare.com,"Operator of acute care hospitals located in non-urban areas. The company offers internal medicine, general surgery, cardiology, oncology, orthopedics, obstetrics, rehabilitation, subacute care, and diagnostic, and emergency services. [Keyword: healthcare]",Medical Facilities & Services,United States,4.2,"Martin Rash (CEO), John Rutledge (COO), Richard Gore (EVP), James Thomas Anderson (SVP)",GTCR,,,IPO / Went public,,Public
Spectrum Healthcare Partners,spectrumhcp.com,"Spectrum Healthcare Partners provides healthcare services. The hospital offers ambulatory surgery, anesthesiology, OrthoAccess, orthopedics, pathology, physical therapy, vascular and interventional, radiation oncology, and radiology. It is based in South Portland, Maine.",Medical Facilities & Services,United States,,,,,,Alive / Active,1996,
IACT Health,iacthealth.com,"IACT Health, founded in 2005, is a research management organization. The organization contributes to helping medications achieve FDA approvals in areas such as oncology, cardiology, pulmonology, endocrinology, infectious disease, and pain. It is based in Columbus, Georgia.",Medical Facilities & Services,United States,,Jeffrey Kingsley (CEO),,,,Alive / Active,,
Beth Israel Deaconess Medical Center,bidmc.org,"Beth Israel Deaconess Medical Center is an academic medical center. The centre's departments include a cancer center, pharmacy, radiology, surgery, radiation oncology, neurology, and dermatology. The company was founded in 1996 and is based in Boston, Massachusetts.",Medical Facilities & Services,United States,,"John Torous (Founder), Kris Laping (SVP), Joanne Pokaski (Senior Director)","Lahey Health Systems, DxQI Seed Grant Program",,,Alive / Active,1996,Lahey Health Systems
Pinellas Cancer Center,,"Pinellas Cancer Center provides medical cancer care services and is based in Florida. On March 8, 2021, Pinellas Cancer Center was acquired by The Oncology Institute of Hope and Innovation. The terms of the transaction were not disclosed.",Medical Facilities & Services,United States,,,The Oncology Institute of Hope and Innovation,,,Acquired,,The Oncology Institute of Hope and Innovation
MedSource,medsource.com,"MedSource is a full-service clinical research organization that focuses on complex study designs and diseases with a particular expertise in oncology and central nervous system disorders. On December 14, 2020, MedSource was acquired by Ergomed at a valuation between $16.2M and $25M.",Medical Facilities & Services,United States,9,"Paul Weitzel (CEO), John Hlywak (CFO)",Ergomed,,,Acquired,1997,Ergomed
AdvaGenix,advagenix.com,"AdvaGenix provides a bioinformatics platform to detect, annotate and classify genomic variants associated with multiple disorders, like oncology for patients with active cancers, hereditary cancer, cardiology, metabolism, pediatric disorders, and many others. It is based in Rockville, Maryland.",Medical Facilities & Services,United States,,Laura Kearns (COO),,,,Alive / Active,,
Avrok Biosciences,avrokbio.com,"Avrok Biosciences is a molecular laboratory primarily focused on cancer, infectious diseases, and autoimmune diseases. Its services include oncology, infectious diseases, surveillance, oral microbiome, research and development, and bioinformatics. It was founded in 2020 and is based in Azusa, California.",Medical Facilities & Services,United States,,,,,,Alive / Active,2020,
Veterinary Specialty Hospital of San Diego,vshsd.com,"Veterinary Specialty Hospital of San Diego (VSH) provides specialty veterinary care since 1990, fulfilling the need for specialty healthcare and emergency services for dogs and cats in San Diego County and Southern California. With hospitals conveniently located in Sorrento Valley and San Marcos, VSH provides exceptional patient care to all of San Diego County and beyond. 53 Doctors of Veterinary Medicine, including 28 board-certified specialists in the areas of surgery, internal medicine, medical oncology, radiation oncology, neurology/neurosurgery, ophthalmology, diagnostic imaging, emergency/critical care and dermatology serve the community.",Medical Facilities & Services,United States,,,Premier Veterinary Group,,,Merged,,Premier Veterinary Group
Trial Library,triallibrary.com,"Trial Library operates an oncology clinical trials company. It helps patients, providers, and pharmaceutical sponsors in clinical trials. The firm serves clients operating in the healthcare sector. The company was founded in 2022 and is based in San Francisco, California.",Medical Facilities & Services,United States,5,"Hala Borno (CEO), Stephen Buck (Chief Product Officer)","Lux Capital, NEXT VENTURES, Unseen Capital",,,Alive / Active,2022,
Central New York Research,cnyrc.org,Central New York Research exists to provide health care to veterans through access to medical research projects. Its research initiatives include: post-traumatic stress disorder; suicide prevention; substance abuse; oncology; gastrointestinal and infectious disease.,Medical Facilities & Services,United States,,,,,,Alive / Active,,
Bay Area Hospital,bayareahospital.org,"Bay Area Hospital offers a comprehensive range of diagnostic and therapeutic services. The hospital's inpatient and outpatient services include medical, surgical, pediatric, critical care, home health, outpatient and acute inpatient psychiatric, oncology, obstetrical, and other specialties.",Medical Facilities & Services,United States,,"Brian Moore (CEO), Samuel Patterson (CFO), Patrick Varga (CIO), Thomas Shine (Chief People Officer), Mike Murphy (Chief Medical Officer)",,,,Alive / Active,,
C.S. Mott Center for Human Growth and Development,mott.med.wayne.edu,"The C.S. Mott Center for Human Growth and Development is a research center. The center promotes research training relating to women's and children's health with focuses on reproductive biology, immunology, oncology, toxicology, and prenatal medicine. It is based in Detroit, Michigan.",Medical Facilities & Services,United States,,,,,,Alive / Active,,
Boca Biolistics,bocabio.com,"Boca Biolistics is a clinical research organization and biomaterials company focused on the procurement, storage, and sale of human biological samples. It specializes in infectious diseases and oncology for clinical trials and diagnostic development. The company was founded in 2005 and is based in Pompano Beach, Florida.",Medical Facilities & Services,United States,25.31,"Valentin Adia (Founder), Michael Morris (Founder)","Clairvest Group, U.S. Small Business Administration",,,Alive / Active,2005,
VHC Health,vhchealth.org,"VHC Health is a hospital. It provides medical services as its region's community health system. It provides stroke care, oncology, cancer care, emergency medicine, cardiovascular surgery, and other services. It was founded in 1944 and is based in Arlington, Virginia.",Medical Facilities & Services,United States,,,,,,Alive / Active,1944,
Riverside Community Hospital,riversidecommunityhospital.com,"Riverside Community Hospital is an acute care hospital. Its services include cardiac surgery (open heart), neuroscience or stroke, cardiology cath lab, neurosurgery, orthopedics, transplant, and general surgery or surgical oncology. It was founded in 1901 and is based in Riverside, California.",Medical Facilities & Services,United States,,,,,,Alive / Active,1901,
Memorial Hospital of Union County,memorialhosp.org,"Memorial Hospital of Union County provides medical and surgical hospital services. The hospital offers emergency care, cardiology, radiology, mental health, rehabilitation, neurology, surgery, gynecology, pediatrics, and oncology services. It was founded in 1952 and is based in Marysville, Ohio.",Medical Facilities & Services,United States,,,,,,Alive / Active,1952,
Eastern Idaho Regional Medical Center,eirmc.com,"Eastern Idaho Regional Medical Center (EIRMC) is an emergency care center that provides emergency care services, such as cardiovascular surgery, oncology, neurosurgery, intensive care, trauma, stroke, women's services, and inpatient rehab services. It is based in Idaho Falls, Idaho.",Medical Facilities & Services,United States,,"Jeff Sollis (CEO), Aaron Martin (CFO)",,,,Alive / Active,,
Radiology Specialists of Louisville,radiologylouisville.com,"Radiology Specialists of Louisville (RSL) is a radiology practice. The practice provides expert, sub-specialized care. The practice specializes in advanced CT and MRI diagnostic services, orthopedics and musculoskeletal imaging, women’s health, and cancer and oncology. It is based in Louisville, Kentucky.",Medical Facilities & Services,United States,,,,,,Alive / Active,,
Five Rivers Family Health Center,fiverivershealthcenters.org,"Five Rivers Family Health Center is a health care center with specialties in Family Medicine, Internal Medicine, Obstetrics/Gynecology, Pediatrics, Dental, Adult Transitional Sickle Cell, Infectious Diseases, General Surgery, Hand Surgery, Hematology/Oncology, Mental Health, Neurology, and Orthopedics.",Medical Facilities & Services,United States,1.1,"Gina McFarlane-El (CEO), Tara Brown (CFO), Diane Cummins (COO), Mamle Anim (Chief Medical Officer)",,,,Alive / Active,2011,
Kingman Regional Medical Center,azkrmc.com,"Kingman Regional Medical Center provides general medical and surgical hospital services Includes diabetes, diagnostic, emergency, hospice, oncology, pediatric, primary care, rehabilitation, and recovery, weight loss center, surgery, acute, cardiovascular, and respiratory services. It is based in Kingman, Arizona.",Medical Facilities & Services,United States,,"Tim Blanchard (CFO), Arek Shennar (CIO)",,,,Alive / Active,,
St. Elizabeth Physicians,stelizabethphysicians.com,"St. Elizabeth Physicians is a multi-specialty physician organization. The organization provides hospital and health care services, including addiction medicine, bariatric surgery, behavioral health, breast surgery, cardiology, dermatology, aesthetics, diagnostic services, electrophysiology, endocrinology, express care, family medicine, gastroenterology, general surgery, geriatrics, holistic health, infectious disease, internal medicine, nephrology, neuro-oncology, neurology, obstetrics, gynecology, occupational medicine, ophthalmology, orthopedics, pain management, spine, pediatrics, physiatry, podiatry, pulmonology, rheumatology, sleep medicine, surgical oncology, urgent care, urogynecology, urology, vascular surgery, and wound care. It is based in Erlanger, Kentucky.",Medical Facilities & Services,United States,,,,,,Alive / Active,,
Greenville Health System,ghs.org,"Greenville Health System (GHS)-a not-for-profit healthcare system in South Carolina-is committed to medical excellence through research, patient care and education. It's one of 100 systems nationwide to be designated an academic health system. The 1,358-bed system offers patients an innovative network of clinical integration, expertise and technologies through its six medical campuses, tertiary medical center, research and education facilities, community hospitals, physician practices and numerous specialty services throughout the Upstate. The GHS Cancer Institute is a regional leader in cancer care, offering National Cancer Institute-approved cancer treatment and prevention trials through the Community Clinical Oncology Program. GHS also offers Phase 1 clinical trials, genetic counseling, a blood and marrow transplant program and numerous patient-specific programs, including its Center for Integrative Oncology and Survivorship and the Institute for Translational Oncology Research, which works with more than 50 pharmaceutical and biotechnology partners to bring molecular diagnostics and new medication trials to the community setting.",Medical Facilities & Services,United States,1,,"Foundation Medicine, Prisma Health",,,Merged,1912,Prisma Health
QUE Oncology,queoncology.com,"QUE Oncology (QUE) was formed through a collaboration between Emory University, in Atlanta, Georgia, and The University of Queensland (UQ) research commercialization company, UniQuest, in Brisbane, Australia. The firm is developing novel therapies to address unmet medical needs in the treatment of cancer and its consequences.",Medical Facilities & Services,United States,16,,"Brandon Capital, UniSeed",,,Alive / Active,,
